system:index,category_bonus,distance_weighted_score,elevation,land_cover_class,mean_distance_to_water,mean_ndvi,nighttime_light,norm_distance_weighted,num_sources,pressure_score,random,score,slope,tile_id,water_point_population,water_source_category,.geo
22971,0.1,5.698922871643988,1106.8001639890338,10.0,914.7059340438922,0.3204820908640075,1.2208784123963001,0.2849461435821994,6,3.8017778105205955,0.030098325101993728,1.1984794769155327,2.9800901314573975,tile_1806,1067.6666666666667,Well,"{""type"":""Polygon"",""coordinates"":[[[32.89,2.210000000000001],[32.9,2.210000000000001],[32.9,2.22],[32.89,2.2199999999999998],[32.89,2.210000000000001]]]}"
53109,0.1,1.8120661541915957,1135.008635022944,30.0,2000.0,0.15759278152976017,0.6617241384444006,0.09060330770957979,3,3.650350008163868,0.03010162686537121,0.9488033077095798,1.870400908380769,tile_1807,791.0,Well,"{""type"":""Polygon"",""coordinates"":[[[34.199999999999996,2.29],[34.209999999999994,2.29],[34.209999999999994,2.3000000000000003],[34.199999999999996,2.3000000000000003],[34.199999999999996,2.29]]]}"
41901,0.1,0.9747547665717595,1104.4642522652807,20.00000000000006,2000.0,0.44848283285722546,0.18823667717250914,0.04873773832858798,1,2.906666666666667,0.03010535596771835,0.9044710716619213,2.459433036138184,tile_1808,872.0,Well,"{""type"":""Polygon"",""coordinates"":[[[33.720000000000006,0.6100000000000001],[33.730000000000004,0.6100000000000001],[33.730000000000004,0.6200000000000002],[33.720000000000006,0.6200000000000001],[33.720000000000006,0.6100000000000001]]]}"
7775,0.1,10.0,1097.3014396027475,40.00000000000005,2000.0,0.2758936339959524,0.2548665591461505,0.5,36,1.2304629590555471,0.03014359248854792,0.9157259251444427,2.201716575029847,tile_1809,348.1666666666667,Well,"{""type"":""Polygon"",""coordinates"":[[[32.23,2.0500000000000003],[32.239999999999995,2.0500000000000003],[32.239999999999995,2.0600000000000005],[32.22999999999999,2.0600000000000005],[32.23,2.0500000000000003]]]}"
56165,0.1,0.9355782042082567,1306.8338876107641,19.99999999999999,2000.0,0.5109356404523334,0.30014890829410673,0.04677891021041283,1,1.266666666666667,0.030199134995228083,0.47611224354374626,11.873406412254061,tile_1810,380.0,Well,"{""type"":""Polygon"",""coordinates"":[[[34.339999999999996,0.6499999999999999],[34.349999999999994,0.6499999999999999],[34.349999999999994,0.66],[34.33999999999999,0.66],[34.339999999999996,0.6499999999999999]]]}"
41583,0.1,10.0,1119.962891998465,20.000000000000004,2000.0,0.3388228308831014,0.1739519464520255,0.5,33,1.3497979857945686,0.030227303467923128,0.9509474759467925,2.516777141948729,tile_1811,404.93939393939394,Well,"{""type"":""Polygon"",""coordinates"":[[[33.699999999999996,2.0300000000000002],[33.71,2.0300000000000002],[33.709999999999994,2.04],[33.69999999999999,2.04],[33.699999999999996,2.0300000000000002]]]}"
26152,0.1,10.0,1039.5555739030394,89.99999999999967,372.38851092397493,0.3424886958112735,0.23538971635486747,0.5,30,2.695333334287007,0.03024185761338316,1.3007866668574015,1.8597219738275563,tile_1812,808.6,Well,"{""type"":""Polygon"",""coordinates"":[[[33.03,1.8200000000000005],[33.03999999999999,1.82],[33.03999999999999,1.8300000000000003],[33.03,1.8300000000000003],[33.03,1.8200000000000005]]]}"
54748,0.1,3.798656090517899,1268.6451419102073,19.99999999999999,2000.0,0.5970768478472853,0.5902039134969895,0.18993280452589498,4,0.7308333309491475,0.03024652480915102,0.47994947071572447,3.8514759251872226,tile_1813,219.25,Well,"{""type"":""Polygon"",""coordinates"":[[[34.279999999999994,0.28],[34.290000000000006,0.28],[34.29,0.29000000000000004],[34.279999999999994,0.2900000000000001],[34.279999999999994,0.28]]]}"
2922,0.1,1.9305669416750195,1052.6064018175375,30.000000000000163,2000.0,0.37457535939701686,0.34749169853141537,0.09652834708375098,2,0.675,0.03025319488523992,0.372028347083751,2.1142133939815415,tile_1814,202.5,Well,"{""type"":""Polygon"",""coordinates"":[[[32.019999999999996,1.82],[32.02999999999999,1.8200000000000005],[32.029999999999994,1.8300000000000003],[32.02,1.8300000000000003],[32.019999999999996,1.82]]]}"
17319,-0.1,0.9487887878292016,1093.471566774094,10.000000000000005,2000.0,0.48331533539094645,0.28775686079964913,0.047439439391460086,1,6.880000114440918,0.03026577444620393,0.6162394393914601,2.466196264592199,tile_1815,344.0,Rainwater Harvesting,"{""type"":""Polygon"",""coordinates"":[[[32.65,0.8900000000000002],[32.660000000000004,0.89],[32.66,0.9],[32.65,0.9],[32.65,0.8900000000000002]]]}"
57262,0.1,0.9820561752432599,1198.0614222910629,29.999999999999954,2000.0,0.20158030461710036,0.18708463991206828,0.049102808762163,1,0.116666666666667,0.03029972641623757,0.1794361420954964,2.1014972159441734,tile_1816,35.0,Well,"{""type"":""Polygon"",""coordinates"":[[[34.379999999999995,2.4200000000000004],[34.389999999999986,2.420000000000001],[34.38999999999999,2.43],[34.379999999999995,2.43],[34.379999999999995,2.4200000000000004]]]}"
13250,-0.1,0.0,1034.0,80.0,2000.0,-0.17250763678886255,0.18162225866485907,0.0,0,0,0.03037998182538293,-0.1,0.0,tile_1817,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[32.47,1.6],[32.47999999999999,1.6],[32.48,1.6099999999999999],[32.47,1.61],[32.47,1.6]]]}"
20324,0.1,8.3157284074273,1044.7826330420198,90.0,641.3332565682413,0.7108763450918253,0.20609411549334436,0.41578642037136504,14,3.1302380858716505,0.03041886963317675,1.2033149917999366,1.3740740607228208,tile_1818,437.64285714285717,Well,"{""type"":""Polygon"",""coordinates"":[[[32.78000000000001,1.04],[32.79,1.0399999999999998],[32.79,1.0499999999999998],[32.78000000000001,1.0499999999999998],[32.78000000000001,1.04]]]}"
15945,0.1,10.0,1091.8898686818084,19.99999999999999,2000.0,0.4886769647722506,0.2722021938187763,0.5,20,2.094833324869474,0.030426813256333562,1.1102566649738947,2.3880202525701884,tile_1819,456.45,Well,"{""type"":""Polygon"",""coordinates"":[[[32.589999999999996,0.9499999999999997],[32.599999999999994,0.9499999999999997],[32.599999999999994,0.96],[32.589999999999996,0.96],[32.589999999999996,0.9499999999999997]]]}"
42858,0.1,10.0,1068.589039530918,20.00000000000011,2000.0,0.4049641155595898,0.3184862765377643,0.5,52,4.28605171950262,0.030464705397121428,1.3727784871005468,2.758915175174584,tile_1820,863.8924355027345,Well,"{""type"":""Polygon"",""coordinates"":[[[33.76,0.9800000000000001],[33.769999999999996,0.9800000000000001],[33.769999999999996,0.99],[33.76,0.99],[33.76,0.9800000000000001]]]}"
187,-0.1,0.0,996.0843713077783,10.0,2000.0,0.6491141350104805,0.19717084904869897,0.0,0,0,0.030465605851041522,-0.1,3.2498436246841904,tile_1821,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[31.899999999999995,2.0700000000000003],[31.909999999999993,2.0700000000000003],[31.91,2.08],[31.900000000000002,2.08],[31.899999999999995,2.0700000000000003]]]}"
31087,0.1,10.0,1126.3132440625025,10.000000000000096,2000.0,0.6377794922829797,0.287476488730657,0.5,51,1.9273018166217224,0.030488452315485137,1.0750472052478932,2.6069029301118003,tile_1822,447.93420961774297,Well,"{""type"":""Polygon"",""coordinates"":[[[33.25,0.5700000000000001],[33.26,0.5700000000000001],[33.26,0.5800000000000002],[33.25,0.5800000000000002],[33.25,0.5700000000000001]]]}"
8164,-0.1,1.5281470099228498,1068.1643105215214,20.000000000000018,1793.5623465849094,0.5050238516610451,0.19863529562950133,0.0764073504961425,3,8.756836224356332,0.03051457990509243,0.7009096299186642,2.223696010357204,tile_1823,622.5113971126092,Rainwater Harvesting,"{""type"":""Polygon"",""coordinates"":[[[32.24999999999999,1.3399999999999999],[32.25999999999999,1.3399999999999999],[32.26,1.3499999999999999],[32.24999999999999,1.3499999999999999],[32.24999999999999,1.3399999999999999]]]}"
52700,0.1,2.8839886430678114,1193.62857085723,19.999999999999936,2000.0,0.4963744568975651,0.34058970222837515,0.14419943215339057,3,0.9044444380866156,0.030551854760423103,0.4793549864373803,2.6005803662486233,tile_1824,271.3333333333333,Well,"{""type"":""Polygon"",""coordinates"":[[[34.19,0.5],[34.199999999999996,0.5],[34.199999999999996,0.51],[34.19,0.51],[34.19,0.5]]]}"
19720,0.1,0.9629111850073313,1063.7952819122895,20.0,2000.0,0.26510747306813653,0.26762353046267634,0.048145559250366565,1,2.433333333333333,0.03060718286656694,0.7808122259170331,2.480642469614882,tile_1825,730.0,Well,"{""type"":""Polygon"",""coordinates"":[[[32.75,1.8999999999999995],[32.76,1.9],[32.75999999999999,1.9099999999999997],[32.75,1.9099999999999997],[32.75,1.8999999999999995]]]}"
23012,0.1,10.0,1174.6043224654854,10.000000000000131,2000.0,0.6546752259349816,0.4510596567878918,0.5,89,1.7730337135242613,0.030613124056320662,1.0393146078733917,5.466629097367178,tile_1826,423.53932584269666,Well,"{""type"":""Polygon"",""coordinates"":[[[32.9,0.32],[32.910000000000004,0.32],[32.91,0.33],[32.9,0.33],[32.9,0.32]]]}"
47196,0.1,1.9178361113929108,1089.9200471416104,40.000000000000014,2000.0,0.46013920291759497,0.1815850603320787,0.09589180556964555,2,1.908333328564962,0.030647463732997204,0.6920584712826379,2.8339597803433385,tile_1827,572.5,Well,"{""type"":""Polygon"",""coordinates"":[[[33.949999999999996,0.66],[33.959999999999994,0.66],[33.96,0.6699999999999999],[33.949999999999996,0.6699999999999999],[33.949999999999996,0.66]]]}"
