latitude,longitude,status_id,water_source_clean,water_source_category,distance_to_primary_road,distance_to_secondary_road,distance_to_tertiary_road,distance_to_city,distance_to_town,local_population_1km,water_point_population,pressure_score,is_urban
-0.055458002,34.520412,Yes,Protected Well,Well,9893.786143499923,5986.890428802591,235.15395016762844,26546.274038390613,15696.87009856604,1574.0,429.0,1.43,false
-0.15340699,34.845085,Yes,Protected Well,Well,9143.87411117534,1783.0611914703109,4387.918428109692,11558.066987439222,8492.342188773335,3176.0,79.0,0.263333333333333,false
-0.1796865,34.9271482,Yes,Borehole/Tubewell,Well,1110.0313416271028,11165.986455206708,1212.9334538642238,21043.54302678453,1212.9553645969984,5258.0,262.0,0.873333333333333,false
-0.6356834,34.22112,Yes,Borehole/Tubewell,Well,59442.28743159412,9429.298756400827,1286.749776766436,60966.687099956696,23688.461170424525,668.0,644.0,2.146666666666666,false
-0.44774666428566,34.95559310913086,Yes,Borehole/Tubewell,Well,27376.467344743705,5667.469600403367,1992.2499579417963,32214.49138912153,13326.625287071249,2977.0,885.0,2.95,false
0.009451666846871,34.72331619262695,Yes,Protected Well,Well,9468.16288988255,3022.359529513899,2104.525440087426,12890.58977292368,2144.5785843596123,3704.0,536.0,1.786666666666667,false
-0.1017,34.75164,Yes,Borehole/Tubewell,Well,534.9442142131928,11.568338018483454,21.156558758976708,312.6682562871052,8497.22081535581,7678.0,5994.0,19.98,true
-0.1478052,34.5005031,Yes,Borehole/Tubewell,Well,17905.695085708787,4250.202915821121,4487.32633931674,28671.78199935397,24859.344066555383,908.0,330.0,1.1,false
-0.6635437,34.8140127,Yes,Protected Well,Well,4023.1115070507385,628.0488051117849,201.3432519989434,5185.410793926251,11980.21676950183,2657.0,316.0,1.053333333333333,false
-0.6718377,34.8131054,Yes,Protected Well,Well,3335.003370907549,71.53287954063738,144.3461609287535,5050.782355866912,11792.972065063175,3268.0,315.0,1.05,false
-0.8283116189,34.5997534282,Yes,Protected Well,Well,25105.57288004452,6998.011205755935,666.3067083463214,25662.79635626421,7824.19514515095,2226.0,535.0,1.783333333333333,false
-0.6600136296,34.5984471734,Yes,Protected Well,Well,17366.33568669395,6609.2237162277725,217.34182770089404,18879.035121885456,9557.760552106289,1455.0,389.0,1.296666666666667,false
-0.952663362026215,34.547706604003906,Yes,Protected Well,Well,39097.73881640301,18125.18554927689,491.4085759478141,39763.12576799576,5251.366043743699,1540.0,1226.0,4.086666666666667,false
