latitude,longitude,status_id,water_source_category,distance_to_primary_road,distance_to_secondary_road,distance_to_tertiary_road,distance_to_city,distance_to_town,local_population_1km,water_point_population,pressure_score,is_urban
-0.3277818,34.9097115,No,unknown,17194.658322817013,1740.2880563053582,153.36327501399492,30299.20798876315,17212.455352918667,1933.2513292443466,913.5842258200477,3.045280752733492,false
-0.157883,35.200588,No,Piped Water,7431.654132729175,17.231196139466466,128.3408816761479,24847.61262555148,1465.3261449484614,8694.73411816539,3579.8081360662995,29.955331002042353,false
-0.169626,35.231415,Yes,Piped Water,9703.13411356733,326.75691617217666,3535.8385973123054,22533.068741156832,5099.338172436661,1391.4232949601353,307.9029839109225,4.032005637475159,false
-0.155683,35.200199,Yes,Piped Water,7558.676298903396,264.1086494665412,18.29113587939963,25089.654390379685,1417.3701232954354,8731.396758487519,3724.5110637217467,37.86314572621954,false
-0.322355,35.0052283,No,Piped Water,17106.740264190266,5394.664405033466,144.53445128394557,31338.5921807425,10035.89971140181,1318.8056984883403,932.0747495482298,3.1069158318274326,false
-0.158335,35.196163,Yes,Piped Water,7028.809791881385,29.75367545007884,544.6386267469424,24988.25369729953,985.5603464384724,8616.519370381919,4079.6779879325522,73.50256413284642,false
-0.2731024,34.9646915,Yes,Piped Water,11370.555822909948,165.67546556797643,876.8688398111922,30055.273594479648,12241.689052242831,3788.991719624509,1009.159059653884,3.363863532179613,false
-0.180502,34.928814,Yes,Piped Water,1012.9103902810168,11003.17213292413,1412.540035543722,21249.59801903825,1412.5635268477606,5164.49516498087,273.2099703766431,0.9106999012554771,false
-0.15527,35.200573,Yes,Piped Water,7620.15811572368,303.7172051787651,10.21860807224168,25116.815379530653,1462.5406956867132,8734.410449849083,3722.421164022104,36.81872275296959,false
-1.0502,35.169,Yes,Well,30471.27780391857,8098.159468092523,5024.811481404839,61377.32535200571,30722.949836802385,494.0,459.0,1.53,false
-0.154698,35.198311,Yes,Piped Water,7477.855433420135,399.40442142005776,160.98795427746188,25268.863429612204,1220.9674082461102,8686.619952101215,3908.0949535558198,57.18486533947363,false
-0.3602362,34.8997347,Yes,Piped Water,20924.692560514974,537.3812553931052,678.1920916041012,32743.806919666826,18470.46902954201,1357.054662757949,891.2457862305579,2.9708192874351926,false
-0.15591601,35.199348,Yes,Piped Water,7471.039411649113,250.58240552064424,102.20818877272998,25100.822226231307,1321.2934459762052,8730.376481367804,3770.2281447225637,42.382861812199664,false
-1.222937,35.560198,Yes,Well,24797.002374676456,13837.513201685257,14173.422376003016,99579.24307840884,35035.39453042665,48.0,48.0,0.16,false
-1.2,35.3667,Yes,Well,27499.246162313288,9229.685105151892,22224.09411374731,88803.61860750987,29566.42225744505,82.0,82.0,0.273333333333333,false
